禁止,制限,準制限,無制限,無制限(新録)
,,,ランプの魔人,メルキド四面獣
,,,カクタス,女邪神ヌヴィア
,,,赤き剣のライムンドス,仮面魔獣デス・ガーディウス
,,,とろける赤き影,遺言の仮面
,,,死神のドクロイゾ,クロス・ソウル
,,,ファイヤー・デビル,選ばれし者
,,,ラーバス,弱体化の仮面
,,,ハードアーマー,仮面魔獣の儀式
,,,火炎草,魔力無力化の仮面
,,,マンイーター,生贄封じの仮面
,,,ディッグ・ビーク,呪魂の仮面
,,,マグネッツ１号,凶暴化の仮面
,,,マグネッツ２号,死者の生還
,,,悪魔の知恵,稲妻の剣
,,,サファイヤ・リサーク,竜巻海流壁
,,,ゼミアの神,メサイアの蟻地獄
,,,ジャジメント・ザ・ハンド,モンスターBOX
,,,謎の傀儡師,激流葬
,,,太古の壺,融合解除
,,,暗黒火炎龍,スライム増殖炉
,,,深淵の冥王,悪夢の鉄檻
,,,ハープの精,無限の手札
,,,大王目玉,ディフェンド・スライム
,,,アーメイル,生還の宝札
,,,ダーク・プリズナー,神の恵み
,,,ハリケル,燃えさかる大地
,,,魔天老,大寒波
,,,ファイヤー・アイ,メテオ・ストライク
,,,モンスタートル,シフトチェンジ
,,,キラー・ザ・クロー,孵化
,,,サターナ,ワーム・ホール
,,,アルラウネ,マジック・ドレイン
,,,ダークシェイド,グラヴィティ・バインド－超重力の網－
,,,仮面道化,誘惑のシャドウ
,,,ホーリー・パワー,ギロチン・クワガタ
,,,ジャグラー,隼の騎士
,,,コピックス,爆弾かめ虫
,,,ミラージュ,死の４つ星てんとう虫
,,,ヘルゲート・ディーグ,超時空戦闘機ビック・バイパー
,,,ファランクス,ヴァンパイア・ベビー
,,,フュージョニスト,猛進する剣角獣
,,,レッド・エース,海賊船スカルブラッド号
,,,ララ・ライウーン,隻眼のホワイトタイガー
,,,キーメイス,ゴブリン突撃部隊
,,,タートル・タイガー,島亀
,,,魔人 テラ,翼を織りなす者
,,,ドローン,科学特殊兵
,,,アンモ・ナイト,怨念集合体
,,,ゾンビランプ,死神ブーメラン
,,,ハッピー・ラヴァー,恵みの雨
,,,ペンギン・ナイト,モンスター回収
,,,プチリュウ,零式魔導粉砕機
,,,キラーパンダ,強制転移
,,,デーモン・ビーバー,エレメントの泉
,,,ゴースト,千本ナイフ
,,,マキャノン,死のマジック・ボックス
,,,ドローバ,地盤沈下
,,,グロス,女豹の傭兵
,,,スピック,味方殺しの女騎士
,,,プチテンシ,アマゾネスの射手
,,,ダークキラー,紅蓮の女守護兵
,,,スティング,ビッグバンガール
,,,サンダー・キッズ,炎の女暗殺者
,,,バビロン,ファイヤーソーサラー
,,,アクア・マドール,そよ風の精霊
,,,紫炎の影武者,踊る妖精
,,,フレイム・ゴースト,ピクシーガーディアン
,,,ドリアード,女帝カマキリ
,,,ブラック・デーモンズ・ドラゴン,プリンセス人魚
,,,二つの口を持つ闇の支配者,ヒステリック天使
,,,ソリテュード,バイオ僧侶
,,,仮面魔道士,慈悲深き修道女
,,,蜘蛛男,聖女ジャンヌ
,,,ミッドナイト・デビル,堕天使マリー
,,,轟きの大海蛇,強欲な瓶
,,,トラップ・マスター,幻惑の巻物
,,,呪われし魔剣,死者への供物
,,,デス・ストーカー,エクスチェンジ
,,,ヒトデンチャク,絵画に潜む者
,,,森の屍,夢魔の亡霊
,,,命の砂時計,首なし騎士
,,,レア・フィッシュ,ダーク・ネクロフィア
,,,ウッド・ジョーカー,ウィジャ盤
,,,魔人銃,暗黒の扉
,,,暗黒魔神 ナイトメア,地縛霊
,,,斬首の美女,沈黙の邪悪霊
,,,森の住人 ウダン,死霊伯爵
,,,冥界の番人,黒衣の大賢者
,,,はにわ,王家の神殿
,,,ヤシの木,アポピスの化神
,,,ヴィシュワ・ランディー,魔霧雨
,,,デス・フット,マジック・ランプ
,,,闇の暗殺者,ハーピィ・レディ・SB
,,,運命のろうそく,聖獣セルケト
,,,ウォーター・エレメント,疾風の暗黒騎士ガイア
,,,マグマン,翻弄するエルフの剣士
,,,D・ナポレオン,ダーク・ヒーロー ゾンバイア
,,,魂を狩る者,ポルターガイスト
,,,ルート・ウォーター,昇霊術師 ジョウゲン
,,,マスター・アン・エキスパート,霊滅術師 カイクウ
,,,水の踊り子,幻想召喚師
,,,氷,魂を喰らう者 バズー
,,,恍惚の人魚,神聖なる魂
,,,キャッツ・フェアリー,炎の精霊 イフリート
,,,エンジェル・魔女,水の精霊 アクエリア
,,,未熟な悪魔,岩の精霊 タイタン
,,,プリヴェント・ラット,風の精霊 ガルーダ
,,,異次元の戦士,俊足のギラザウルス
,,,ストーン・アルマジラー,トルネード・バード
,,,沼地の魔獣王,幻影の妖精
,,,古代魔導士,物資調達員
,,,月の女神 エルザェム,魔力吸収球体
,,,悪魔の鏡,力の集約
,,,アイルの小剣士,王宮の号令
,,,ウォー・アース,フォースフィールド
,,,ウィング・エッグ・エルフ,死霊の巣
,,,怒りの海王,墓荒らしの報い
,,,剣の女王,守護霊のお守り
,,,悪の無名戦士,カウンターパンチ
,,,闇にしたがう者,無差別破壊
,,,破壊神 ヴァサーゴ,裸の王様
,,,ウェザ,サイクロンレーザー
,,,メギラス・ライト,死のメッセージ「E」
,,,マブラス,死のメッセージ「A」
,,,悟りの老樹,死のメッセージ「T」
,,,緑樹の霊王,死のメッセージ「H」
,,,陸戦型 バグロス,おとり人形
,,,北風と太陽,フュージョン・ゲート
,,,ゴーゴン・エッグ,疫病ウィルス ブラックダスト
,,,プチモス,奇跡の発掘
,,,キング・スモーク,竜魂の力
,,,王座の守護者,霊魂消滅
,,,バーサーカー,怨霊の湿地帯
,,,スリーピィ,アマゾネスの鎖使い
,,,ホログラー,万力魔神バイサー・デス
,,,陰陽師 タオ,冥界の魔王 ハ・デス
,,,デビル・スネーク,魔人 ダーク・バルター
,,,ゲート・キーパー,レッサー・デーモン
,,,黒い影の鬼王,憑依するブラッド・ソウル
,,,闇の芸術家,ハ・デスの使い魔
,,,チェンジ・スライム,スカル・ナイト
,,,月の使者,ガーゴイルの道化師
,,,炎の魔神,ツインヘッド・ケルベロス
,,,サイコ・カッパー,レッド・サイクロプス
,,,伝説の剣豪 MASAKI,冥王の咆哮
,,,魔装騎士ドラゴネス,死の演算盤
,,,B・プラント,生命吸収装置
,,,一眼の盾竜,冥界流傀儡術
,,,魔界の機械兵,魂粉砕
,,,魔頭を持つ邪竜,ダブルトラップ
,,,音女,無敗将軍 フリード
,,,ドレイク,投石部隊
,,,伝説の剣,ドラゴン・ウォリアー
,,,闇の破神剣,戦士ダイ・グレファー
,,,闇・エネルギー,聖なる守り手
,,,デーモンの斧,辺境の大賢者
,,,レーザー砲機甲鎧,７つの武器を持つハンター
,,,火器付機甲鎧,デーモン・テイマー
,,,エルフの光,ドラゴン・ライダー
,,,猛獣の歯,連合軍
,,,はがねの甲羅,光の護封陣
,,,魔菌,戦士の生還
,,,黒いペンダント,迎撃準備
,,,銀の弓矢,陽動作戦
,,,光の角,タイラント・ドラゴン
,,,一角獣のホーン,スピア・ドラゴン
,,,ドラゴンの秘宝,スピリット・ドラゴン
,,,電撃鞭,洞窟に潜む竜
,,,サイバー・ボンテージ,リザード兵
,,,万華鏡－華麗なる分身－,デス・デーモン・ドラゴン
,,,魔性の月,グランド・ドラゴン
,,,『守備』封じ,グレイ・ウイング
,,,悪魔のくちづけ,軍隊竜
,,,紫水晶,ドラゴンの宝珠
,,,秘術の書,巨竜の羽ばたき
,,,覚醒,火竜の火炎弾
,,,機械改造工場,スタンピング・クラッシュ
,,,体温の上昇,超再生能力
,,,フォロー・ウィンド,竜の逆鱗
,,,ポセイドンの力,バーストブレス
,,,ドラゴン族・封印の壺,エメラルド・ドラゴン
,,,森,非常食
,,,荒野,魔法除去細菌兵器
,,,山,オプション
,,,草原,磨破羅魏
,,,海,因幡之白兎
,,,闇,雷帝神
,,,モウヤンのカレー,八俣大蛇
,,,レッド・ポーション,偉大天狗
,,,ゴブリンの秘薬,竜宮之姫
,,,天使の生き血,火之迦具土
,,,治療の神 ディアン・ケト,阿修羅
,,,火の粉,不死之炎鳥
,,,ファイヤー・ボール,レアメタル・ヴァルキリー
,,,火あぶりの刑,レアメタル・ナイト
,,,昼夜の大火事,封神鏡
,,,火炎地獄,明鏡止水の心
,,,六芒星の呪縛,伝説の都 アトランティス
,,,闇をかき消す光,融合武器ムラサメブレード
,,,ヤランゾ,盗人の煙玉
,,,女剣士カナン,霊子エネルギー固定装置
,,,タクリミノス,セカンド・チャンス
,,,くいぐるみ,天変地異
,,,メガソニック・アイ,盗賊の極意
,,,スーパー・ウォー・ライオン,ジェノサイド・ウォー
,,,ヤマドラン,マジック・ガードナー
,,,ホーリー・ナイト・ドラゴン,鎖付き爆弾
,,,２人３脚ゾンビ,ロスト
,,,ゼラ,バブル・クラッシュ
,,,トビペンギン,王宮の弾圧
,,,千年の盾,奈落の落とし穴
,,,妖精の贈りもの,不吉な占い
,,,カオス・ソルジャー,スピリットの誘い
,,,デビルズ・ミラー,体力増強剤スーパーZ
,,,迷宮壁－ラビリンス・ウォール－,はたき落とし
,,,地雷蜘蛛,デビル・コメディアン
,,,シャドウ・グール,デス・ヴォルストガルフ
,,,ウォール・シャドウ,カイザー・シーホース
,,,迷宮の魔戦車,ヴァンパイア・ロード
,,,雷魔神－サンガ,ゴラ・タートル
,,,風魔神－ヒューガ,一刀両断侍
,,,水魔神－スーガ,ポイズンマミー
,,,ゲート・ガーディアン,砂塵の悪霊
,,,ダンジョン・ワーム,王族親衛隊
,,,地獄の魔物使い,さまようミイラ
,,,ガーゴイル・パワード,大神官デ・ザード
,,,復讐のソード・ストーカー,スカラベの大群
,,,ランプの魔精・ラ・ジーン,イナゴの軍勢
,,,青眼の究極竜,ジャイアントマミー
,,,トゥーン・アリゲーター,八つ手サソリ
,,,ルード・カイザー,ピラミッド・タートル
,,,パロット・ドラゴン,ダイス・ポット
,,,ダーク・ラビット,黒蠍盗掘団
,,,デビル・ボックス,首領・ザルーグ
,,,ハーピィズペット竜,デス・ラクーダ
,,,魔法のランプ,不死王リッチー
,,,振り子刃の拷問機械,半蛇人サクズィー
,,,魔導騎士ギルティア,生者の書－禁断の呪術－
,,,TM－１ランチャースパイダー,太陽の書
,,,デビルゾア,月の書
,,,メタル・デビルゾア,悪夢の蜃気楼
,,,ゾーン・イーター,財宝への隠し通路
,,,鉄のサソリ,ミイラの呼び声
,,,ダンシング・エルフ,おくびょうかぜ
,,,エンゼル・イヤーズ,ピラミッドパワー
,,,レッグル,ツタン仮面
,,,ラージマウス,旅人の試練
,,,異国の剣士,底なし流砂
,,,水陸の帝王,王家の呪い
,,,牛鬼,つり天井
,,,モンスター・アイ,黄金の邪神像
,,,レオグン,呪われた棺
,,,シーホース,ニードル・ウォール
,,,キラー・マシーン,ダスト・シュート
,,,カッター・ロボ,運命の火時計
,,,機械王,王家の財宝
,,,機械の巨兵,トゥーン・ブラック・マジシャン・ガール
,,,メタル・ドラゴン,ギルフォード・ザ・ライトニング
,,,カラクリ蜘蛛,イグザリオン・ユニバース
,,,バット,レジェンド・デビル
,,,ギガテック・ウルフ,トゥーン・ディフェンス
,,,機械の兵隊,トゥーンのもくじ
,,,シャベル・クラッシャー,トゥーン・仮面魔道士
,,,メカ・ハンター,トゥーン・ヂェミナイ・エルフ
,,,ブロッカー,トゥーン・キャノン・ソルジャー
,,,ミスター・ボンバー,トゥーン・ゴブリン突撃部隊
,,,ゴルゴイル,隠れ兵
,,,ギガント,ギル・ガース
,,,デビル・フランケン,モンスターレリーフ
,,,コマンダー,クィーンズ・ナイト
,,,人造人間７号,キングス・ナイト
,,,ダイス・アルマジロ,ジャックス・ナイト
,,,天空竜,
,,,サンダー・ドラゴン,
,,,ストーン・ドラゴン,
,,,カイザー・ドラゴン,
,,,聖なる魔術師,
,,,きまぐれの女神,
,,,水の魔導師,
,,,氷水,
,,,ウンディーネ,
,,,エンシェント・エルフ,
,,,美しき魔物使い,
,,,ウォーター・ガール,
,,,ホワイト・ドルフィン,
,,,深海に潜むサメ,
,,,メタル・フィッシュ,
,,,神魚,
,,,レインボー・フィッシュ,
,,,サイボーグ・バス,
,,,アクア・ドラゴン,
,,,海の竜王,
,,,ツルプルン,
,,,海を守る戦士,
,,,アクア・スネーク,
,,,シーザリオン,
,,,スパイクシードラ,
,,,３万年の白亀,
,,,復讐のカッパ,
,,,カニカブト,
,,,ザリガン,
,,,千年ゴーレム,
,,,破壊のゴーレム,
,,,ガンロック,
,,,岩の戦士,
,,,ストーン・ゴースト,
,,,雷神の怒り,
,,,地雷獣,
,,,ボルト・エスカルゴ,
,,,ボルト・ペンギン,
,,,雷仙人,
,,,エレクトリック・スネーク,
,,,ウイング・イーグル,
,,,裁きの鷹,
,,,スカイ・ハンター,
,,,紅陽鳥,
,,,クイーン・バード,
,,,青い忍者,
,,,マジカル・ゴースト,
,,,ソウル・ハンター,
,,,エア・イーター,
,,,朱雀,
,,,シーカーメン,
,,,キラー・スネーク,
,,,ガニグモ,
,,,インセクション,
,,,空の昆虫兵,
,,,コカローチ・ナイト,
,,,クワガタ・アルファ,
,,,バーグラー,
,,,プラグティカル,
,,,ガルヴァス,
,,,アメーバ,
,,,コロガーシ,
,,,ブークー,
,,,フラワー・ウルフ,
,,,レインボー・フラワー,
,,,マグナム・リリィ,
,,,ニードル・ボール,
,,,クジャック,
,,,スーパースター,
,,,マハー・ヴァイロ,
,,,レインボー・マリン・マーメイド,
,,,音楽家の帝王,
,,,ウィルミー,
,,,ヤドカリュー,
,,,モリンフェン,
,,,青虫,
,,,竜殺者,
,,,人喰い虫,
,,,ドラゴヒューマン,
,,,タートル・狸,
,,,魔界植物,
,,,プリズマン,
,,,ゲール・ドグラ,
,,,クレイジー・フィッシュ,
,,,メカ・ザウルス,
,,,ブラキオレイドス,
,,,笑う花,
,,,ビーン・ソルジャー,
,,,キャノン・ソルジャー,
,,,王室前のガーディアン,
,,,ブレイブ・シザー,
,,,イースター島のモアイ,
,,,ムカムカ,
,,,サンド・ストーン,
,,,岩石カメッター,
,,,ファイヤー・クラーケン,
,,,タートル・バード,
,,,デス・バード,
,,,巨大な怪鳥,
,,,悪魔の調理師,
,,,スター・ボーイ,
,,,山の精霊,
,,,首狩り魔人,
,,,ミリス・レディエント,
,,,クラッシュマン,
,,,フレイム・ケルベロス,
,,,エルディーン,
,,,砂の魔女,
,,,ヂェミナイ・エルフ,
,,,クワガー・ヘラクレス,
,,,イビー,
,,,カマキラー,
,,,メカレオン,
,,,メガ・サンダーボール,
,,,コケ,
,,,デッド・シャーク,
,,,スケルエンジェル,
,,,ハネハネ,
,,,ナイル,
,,,舌魚,
,,,大砲だるま,
,,,スケルゴン,
,,,魚ギョ戦士,
,,,グリグル,
,,,骨ネズミ,
,,,カエルスライム,
,,,ベヒゴン,
,,,ダーク・エルフ,
,,,ワイバーン,
,,,マタンゴ,
,,,バーバリアン１号,
,,,レッド・ドラゴン,
,,,さまよえる亡者,
,,,鋼鉄の巨神像,
,,,ポット・ザ・トリック,
,,,オシロ・ヒーロー,
,,,異次元からの侵略者,
,,,レッサー・ドラゴン,
,,,ニードルワーム,
,,,屋根裏の物の怪,
,,,金色の魔象,
,,,黒き人食い鮫,
,,,ヨルムンガルド,
,,,魔界のイバラ,
,,,恐竜人,
,,,生き血をすするもの,
,,,トラコドン,
,,,密林の黒竜王,
,,,裁きを下す女帝,
,,,ベビー・ティーレックス,
,,,深き森の長老,
,,,ツンドラの大蠍,
,,,カラス天狗,
,,,レオ・ウィザード,
,,,深淵に咲く花,
,,,パトロール・ロボ,
,,,タクヒ,
,,,ヴァルキリー,
,,,ウェザー・レポート,
,,,封印の鎖,
,,,メカニカルスネイル,
,,,ドッペルゲンガー,
,,,モン・ラーバス,
,,,命ある花瓶,
,,,テンタクル・プラント,
,,,くちばしヘビ,
,,,ミューズの天使,
,,,炎を食らう大亀,
,,,バラに棲む悪霊,
,,,アブソリューター,
,,,大食いグール,
,,,ペイルビースト,
,,,リトル・キメラ,
,,,スコール,
,,,ロックメイス,
,,,テンダネス,
,,,ペンギン・ソルジャー,
,,,フェアリー・ドラゴン,
,,,イビル・ラット,
,,,リクイド・ビースト,
,,,ツインテール,
,,,グレード・ビル,
,,,フレンドシップ,
,,,ブレードフライ,
,,,でんきトカゲ,
,,,悪魔の偵察者,
,,,ハイ・プリーステス,
,,,双頭の雷龍,
,,,ハンター・スパイダー,
,,,アーマード・スターフィッシュ,
,,,勇気の砂時計,
,,,マリン・ビースト,
,,,戦場の死装束,
,,,岩石の精霊,
,,,スネーク・パーム,
,,,サキュバス・ナイト,
,,,セイレーン,
,,,泥に潜み棲むもの,
,,,満ち潮のマーマン,
,,,泉の妖精,
,,,海原の女戦士,
,,,キャット・レディ,
,,,見習い魔女,
,,,鎧ネズミ,
,,,古代のトカゲ戦士,
,,,月明かりの乙女,
,,,ストーンジャイアント,
,,,誕生の天使,
,,,ナイト・リザード,
,,,女王の影武者,
,,,冠を戴く蒼き翼,
,,,トレント,
,,,紅葉の女王,
,,,水陸両用バグロス,
,,,アシッドクロウラー,
,,,王座の侵略者,
,,,イリュージョン・シープ,
,,,ディスク・マジシャン,
,,,フレイム・ヴァイパー,
,,,ロイヤルガード,
,,,キラー・ブロッブ,
,,,ひょうすべ,
,,,マシン・アタッカー,
,,,響女,
,,,ウィップテイル・ガーゴイル,
,,,鎖付きブーメラン,
,,,迷宮変化,
,,,戦士抹殺,
,,,サラマンドラ,
,,,成仏,
,,,巨大化,
,,,メタル化・魔法反射装甲,
,,,酸の嵐,
,,,死のデッキ破壊ウイルス,
,,,トゲトゲ神の殺虫剤,
,,,神の息吹,
,,,永遠の渇水,
,,,シャイン・キャッスル,
,,,闇の呪縛,
,,,カオスの儀式,
,,,ゼラの儀式,
,,,ライオンの儀式,
,,,悪魔鏡の儀式,
,,,踊りによる誘発,
,,,ハンバーガーのレシピ,
,,,ローの祈り,
,,,粘着テープの家,
,,,ねずみ取り,
,,,硫酸のたまった落とし穴,
,,,万能地雷グレイモヤ,
,,,天狗のうちわ,
,,,シモッチによる副作用,
,,,あまのじゃくの呪い,
,,,偽物のわな,
,,,亀の誓い,
,,,チャクラの復活,
,,,ジャベリンビートルの契約,
,,,ガルマソードの誓い,
,,,スカルライダーの復活,
,,,要塞クジラの誓い,
,,,ダンシング・ソルジャー,
,,,ハングリーバーガー,
,,,千年原人,
,,,ローガーディアン,
,,,トライホーン・ドラゴン,
,,,エビルナイト・ドラゴン,
,,,スカルビショップ,
,,,コスモクイーン,
,,,チャクラ,
,,,クラブ・タートル,
,,,クレセント・ドラゴン,
,,,メテオ・ドラゴン,
,,,メテオ・ブラック・ドラゴン,
,,,ファイヤー・ウイング・ペガサス,
,,,ガルマソード,
,,,ジャベリンビートル,
,,,要塞クジラ,
,,,スカルライダー,
,,,カオス－黒魔術の儀式,
,,,マジシャン・オブ・ブラックカオス,
,,,スロットマシーンAM－７,
,,,弓を引くマーメイド,
,,,ドラゴン・エッガー,
,,,トゥーン・ドラゴン・エッガー,
,,,トゥーン・マーメイド,
,,,トゥーン・デーモン,
,,,ダーク・アイズ・イリュージョニスト,
,,,サクリファイス,
,,,タイム・ボマー,
,,,千眼の邪教神,
,,,サウザンド・アイズ・サクリファイス,
,,,鉄腕ゴーレム,
,,,スフィア・ボム 球体時限爆弾,
,,,ダイヤモンド・ドラゴン,
,,,磁石の戦士α,
,,,暗黒の眠りを誘うルシファー,
,,,ロード・オブ・ドラゴン－ドラゴンの支配者－,
,,,レッドアイズ・ブラックメタルドラゴン,
,,,リボルバー・ドラゴン,
,,,漆黒の豹戦士パンサーウォリアー,
,,,三ツ首のギドー,
,,,幻獣王ガゼル,
,,,バフォメット,
,,,有翼幻獣キマイラ,
,,,ランドスターの剣士,
,,,魔導ギガサイバー,
,,,磁石の戦士β,
,,,ビッグ・シールド・ガードナー,
,,,ブラック・マジシャン・ガール,
,,,ワイバーンの戦士,
,,,インセクト女王,
,,,寄生虫パラサイド,
,,,ブルーアイズ・トゥーン・ドラゴン,
,,,ソードハンター,
,,,穿孔虫,
,,,深海の戦士,
,,,朱い靴,
,,,スパイク・ヘッド,
,,,異星の最終戦士,
,,,デュナミス・ヴァルキリア,
,,,ガーネシア・エレファンティス,
,,,絶対防御将軍,
,,,サイバティック・ワイバーン,
,,,磁石の戦士γ,
,,,時の機械－タイム・マシーン,
,,,ものマネ幻想師,
,,,トゥーン・ワールド,
,,,イリュージョンの儀式,
,,,攻撃の無力化,
,,,増殖,
,,,７カード,
,,,光の封札剣,
,,,ドラゴンを呼ぶ笛,
,,,右手に盾を左手に剣を,
,,,連鎖破壊,
,,,催眠術,
,,,天使のサイコロ,
,,,悪魔のサイコロ,
,,,スケープ・ゴート,
,,,精霊の鏡,
,,,黒魔術のカーテン,
,,,虫除けバリアー,
,,,マジックアーム・シールド,
,,,地割れ,
,,,落とし穴,
,,,融合,
,,,罠はずし,
,,,はさみ撃ち,
,,,ブルー・ポーション,
,,,雷鳴,
,,,魔法除去,
,,,墓掘りグール,
