カード名,登場期
魔界の機械兵,1
魔頭を持つ邪竜,1
音女,1
ドレイク,1
伝説の剣,1
闇の破神剣,1
闇・エネルギー,1
レーザー砲機甲鎧,1
火器付機甲鎧,1
エルフの光,1
猛獣の歯,1
はがねの甲羅,1
魔菌,1
銀の弓矢,1
ドラゴンの秘宝,1
電撃鞭,1
サイバー・ボンテージ,1
万華鏡－華麗なる分身－,1
魔性の月,1
『守備』封じ,1
紫水晶,1
秘術の書,1
覚醒,1
機械改造工場,1
体温の上昇,1
フォロー・ウィンド,1
ポセイドンの力,1
ドラゴン族・封印の壺,1
森,1
荒野,1
山,1
草原,1
海,1
闇,1
モウヤンのカレー,1
レッド・ポーション,1
ゴブリンの秘薬,1
天使の生き血,1
治療の神 ディアン・ケト,1
火の粉,1
ファイヤー・ボール,1
火あぶりの刑,1
昼夜の大火事,1
火炎地獄,1
光の護封剣,1
闇をかき消す光,1
ヤランゾ,1
女剣士カナン,1
タクリミノス,1
くいぐるみ,1
メガソニック・アイ,1
スーパー・ウォー・ライオン,1
ヤマドラン,1
ホーリー・ナイト・ドラゴン,1
２人３脚ゾンビ,1
ゼラ,1
トビペンギン,1
千年の盾,1
妖精の贈りもの,1
カオス・ソルジャー,1
デビルズ・ミラー,1
地雷蜘蛛,1
シャドウ・グール,1
迷宮の魔戦車,1
雷魔神－サンガ,1
風魔神－ヒューガ,1
水魔神－スーガ,1
ゲート・ガーディアン,1
ダンジョン・ワーム,1
地獄の魔物使い,1
ガーゴイル・パワード,1
復讐のソード・ストーカー,1
ランプの魔精・ラ・ジーン,1
青眼の究極竜,1
トゥーン・アリゲーター,1
ルード・カイザー,1
パロット・ドラゴン,1
ダーク・ラビット,1
デビル・ボックス,1
ハーピィズペット竜,1
魔法のランプ,1
振り子刃の拷問機械,1
魔導騎士ギルティア,1
TM－１ランチャースパイダー,1
デビルゾア,1
メタル・デビルゾア,1
ゾーン・イーター,1
鉄のサソリ,1
ダンシング・エルフ,1
エンゼル・イヤーズ,1
レッグル,1
ラージマウス,1
異国の剣士,1
水陸の帝王,1
牛鬼,1
モンスター・アイ,1
レオグン,1
シーホース,1
キラー・マシーン,1
カッター・ロボ,1
機械王,1
機械の巨兵,1
メタル・ドラゴン,1
カラクリ蜘蛛,1
バット,1
ギガテック・ウルフ,1
機械の兵隊,1
シャベル・クラッシャー,1
メカ・ハンター,1
ブロッカー,1
ミスター・ボンバー,1
ゴルゴイル,1
ギガント,1
デビル・フランケン,1
コマンダー,1
人造人間７号,1
ダイス・アルマジロ,1
天空竜,1
サンダー・ドラゴン,1
ストーン・ドラゴン,1
カイザー・ドラゴン,1
聖なる魔術師,1
きまぐれの女神,1
水の魔導師,1
氷水,1
ウンディーネ,1
エンシェント・エルフ,1
美しき魔物使い,1
ウォーター・ガール,1
ホワイト・ドルフィン,1
深海に潜むサメ,1
神魚,1
レインボー・フィッシュ,1
サイボーグ・バス,1
アクア・ドラゴン,1
海の竜王,1
ツルプルン,1
海を守る戦士,1
アクア・スネーク,1
シーザリオン,1
スパイクシードラ,1
３万年の白亀,1
復讐のカッパ,1
カニカブト,1
ザリガン,1
千年ゴーレム,1
破壊のゴーレム,1
ガンロック,1
岩の戦士,1
ストーン・ゴースト,1
雷神の怒り,1
地雷獣,1
ボルト・エスカルゴ,1
ボルト・ペンギン,1
雷仙人,1
ウイング・イーグル,1
裁きの鷹,1
スカイ・ハンター,1
紅陽鳥,1
青い忍者,1
マジカル・ゴースト,1
ソウル・ハンター,1
エア・イーター,1
朱雀,1
シーカーメン,1
ガニグモ,1
インセクション,1
空の昆虫兵,1
コカローチ・ナイト,1
クワガタ・アルファ,1
バーグラー,1
プラグティカル,1
ガルヴァス,1
コロガーシ,1
ブークー,1
フラワー・ウルフ,1
レインボー・フラワー,1
マグナム・リリィ,1
ニードル・ボール,1
スーパースター,1
レインボー・マリン・マーメイド,1
音楽家の帝王,1
ウィルミー,1
ヤドカリュー,1
モリンフェン,1
青虫,1
竜殺者,1
人喰い虫,1
ドラゴヒューマン,1
タートル・狸,1
魔界植物,1
プリズマン,1
ゲール・ドグラ,1
クレイジー・フィッシュ,1
メカ・ザウルス,1
ブラキオレイドス,1
笑う花,1
ビーン・ソルジャー,1
キャノン・ソルジャー,1
ブレイブ・シザー,1
イースター島のモアイ,1
ムカムカ,1
サンド・ストーン,1
岩石カメッター,1
タートル・バード,1
デス・バード,1
巨大な怪鳥,1
悪魔の調理師,1
スター・ボーイ,1
山の精霊,1
首狩り魔人,1
ミリス・レディエント,1
クラッシュマン,1
フレイム・ケルベロス,1
エルディーン,1
砂の魔女,1
ヂェミナイ・エルフ,1
クワガー・ヘラクレス,1
カマキラー,1
メカレオン,1
メガ・サンダーボール,1
コケ,1
デッド・シャーク,1
スケルエンジェル,1
ハネハネ,1
ナイル,1
舌魚,1
大砲だるま,1
スケルゴン,1
魚ギョ戦士,1
骨ネズミ,1
カエルスライム,1
ベヒゴン,1
ダーク・エルフ,1
ワイバーン,1
マタンゴ,1
バーバリアン１号,1
さまよえる亡者,1
鋼鉄の巨神像,1
ポット・ザ・トリック,1
オシロ・ヒーロー,1
異次元からの侵略者,1
レッサー・ドラゴン,1
ニードルワーム,1
屋根裏の物の怪,1
金色の魔象,1
黒き人食い鮫,1
ヨルムンガルド,1
魔界のイバラ,1
恐竜人,1
生き血をすするもの,1
トラコドン,1
密林の黒竜王,1
裁きを下す女帝,1
ベビー・ティーレックス,1
黒き森のウィッチ,1
ツンドラの大蠍,1
カラス天狗,1
レオ・ウィザード,1
深淵に咲く花,1
パトロール・ロボ,1
タクヒ,1
封印の鎖,1
ドッペルゲンガー,1
モン・ラーバス,1
命ある花瓶,1
テンタクル・プラント,1
くちばしヘビ,1
メタモルポット,1
ミューズの天使,1
バラに棲む悪霊,1
アブソリューター,1
大食いグール,1
ペイルビースト,1
リトル・キメラ,1
スコール,1
ロックメイス,1
テンダネス,1
ペンギン・ソルジャー,1
フェアリー・ドラゴン,1
イビル・ラット,1
グレード・ビル,1
フレンドシップ,1
ブレードフライ,1
でんきトカゲ,1
ハイ・プリーステス,1
双頭の雷龍,1
ハンター・スパイダー,1
アーマード・スターフィッシュ,1
勇気の砂時計,1
マリン・ビースト,1
戦場の死装束,1
岩石の精霊,1
スネーク・パーム,1
サキュバス・ナイト,1
セイレーン,1
泥に潜み棲むもの,1
泉の妖精,1
海原の女戦士,1
キャット・レディ,1
見習い魔女,1
鎧ネズミ,1
古代のトカゲ戦士,1
月明かりの乙女,1
誕生の天使,1
ナイト・リザード,1
女王の影武者,1
冠を戴く蒼き翼,1
トレント,1
紅葉の女王,1
水陸両用バグロス,1
アシッドクロウラー,1
イリュージョン・シープ,1
ディスク・マジシャン,1
フレイム・ヴァイパー,1
ロイヤルガード,1
キラー・ブロッブ,1
ひょうすべ,1
マシン・アタッカー,1
響女,1
鎖付きブーメラン,1
戦士抹殺,1
サラマンドラ,1
メタル化・魔法反射装甲,1
酸の嵐,1
死のデッキ破壊ウイルス,1
トゲトゲ神の殺虫剤,1
神の息吹,1
永遠の渇水,1
シャイン・キャッスル,1
カオスの儀式,1
ゼラの儀式,1
ライオンの儀式,1
悪魔鏡の儀式,1
ローの祈り,1
硫酸のたまった落とし穴,1
あまのじゃくの呪い,1
偽物のわな,1
チャクラの復活,1
ジャベリンビートルの契約,1
スカルライダーの復活,1
要塞クジラの誓い,1
千年原人,1
ローガーディアン,1
トライホーン・ドラゴン,1
エビルナイト・ドラゴン,1
スカルビショップ,1
コスモクイーン,1
チャクラ,1
クレセント・ドラゴン,1
メテオ・ドラゴン,1
メテオ・ブラック・ドラゴン,1
ファイヤー・ウイング・ペガサス,1
ジャベリンビートル,1
要塞クジラ,1
スカルライダー,1
カオス－黒魔術の儀式,1
マジシャン・オブ・ブラックカオス,1
スフィア・ボム 球体時限爆弾,1
ロード・オブ・ドラゴン－ドラゴンの支配者－,1
レッドアイズ・ブラックメタルドラゴン,1
リボルバー・ドラゴン,1
幻獣王ガゼル,1
ワイバーンの戦士,1
ドラゴンを呼ぶ笛,1
右手に盾を左手に剣を,1
地割れ,1
落とし穴,1
融合,1
罠はずし,1
はさみ撃ち,1
ブルー・ポーション,1
雷鳴,1
魔法除去,1
墓掘りグール,1
灼熱の槍,1
突風の扇,1
未熟な密偵,1
援軍,1
城壁,1
血の代償,1
古代の遠眼鏡,1
ホワイト・ホール,1
墓場からの呼び声,1
避雷針,1
死者への手向け,1
魂の解放,1
陽気な葬儀屋,1
闇からの呼び声,1
神の宣告,1
マジック・ジャマー,1
盗賊の七つ道具,1
昇天の角笛,1
自業自得,1
王宮のお触れ,1
魔女狩り,1
悪魔払い,1
魔力の棘,1
革命,1
融合賢者,1
執念の剣,1
『攻撃』封じ,1
薄幸の美少女,1
追い剥ぎゴブリン,1
細菌感染,1
しびれ薬,1
厳格な老魔術師,1
幻影の壁,1
魔法剣士ネオ,1
邪剣男爵,1
人喰い宝石箱,1
デス・ソーサラー,1
和睦の使者,1
磁力の指輪,1
痛み分け,1
ドーピング,1
大嵐,1
グリフォンの翼,1
オクトバーサー,2
ペンギン・ナイト,2
サイコ・カッパー,2
デーモンの斧,2
黒いペンダント,2
光の角,2
一角獣のホーン,2
悪魔のくちづけ,2
六芒星の呪縛,2
迷宮壁－ラビリンス・ウォール－,2
ウォール・シャドウ,2
メタル・フィッシュ,2
エレクトリック・スネーク,2
クイーン・バード,2
キラー・スネーク,2
アメーバ,2
クジャック,2
マハー・ヴァイロ,2
王室前のガーディアン,2
ファイヤー・クラーケン,2
イビー,2
グリグル,2
レッド・ドラゴン,2
深き森の長老,2
ヴァルキリー,2
ウェザー・レポート,2
メカニカルスネイル,2
炎を食らう大亀,2
リクイド・ビースト,2
ツインテール,2
悪魔の偵察者,2
満ち潮のマーマン,2
ストーンジャイアント,2
王座の侵略者,2
ウィップテイル・ガーゴイル,2
迷宮変化,2
成仏,2
巨大化,2
闇の呪縛,2
踊りによる誘発,2
ハンバーガーのレシピ,2
粘着テープの家,2
ねずみ取り,2
万能地雷グレイモヤ,2
天狗のうちわ,2
シモッチによる副作用,2
亀の誓い,2
ガルマソードの誓い,2
ダンシング・ソルジャー,2
ハングリーバーガー,2
クラブ・タートル,2
ガルマソード,2
スロットマシーンAM－７,2
弓を引くマーメイド,2
ドラゴン・エッガー,2
トゥーン・ドラゴン・エッガー,2
トゥーン・マーメイド,2
トゥーン・デーモン,2
ダーク・アイズ・イリュージョニスト,2
サクリファイス,2
タイム・ボマー,2
千眼の邪教神,2
サウザンド・アイズ・サクリファイス,2
鉄腕ゴーレム,2
スフィア・ボム 球体時限爆弾,2
ダイヤモンド・ドラゴン,2
磁石の戦士α,2
暗黒の眠りを誘うルシファー,2
漆黒の豹戦士パンサーウォリアー,2
三ツ首のギドー,2
幻獣王ガゼル,2
バフォメット,2
有翼幻獣キマイラ,2
人造人間－サイコ・ショッカー,2
ランドスターの剣士,2
魔導ギガサイバー,2
磁石の戦士β,2
ビッグ・シールド・ガードナー,2
ブラック・マジシャン・ガール,2
ワイバーンの戦士,2
インセクト女王,2
寄生虫パラサイド,2
ブルーアイズ・トゥーン・ドラゴン,2
ソードハンター,2
穿孔虫,2
深海の戦士,2
朱い靴,2
スパイク・ヘッド,2
異星の最終戦士,2
デュナミス・ヴァルキリア,2
ガーネシア・エレファンティス,2
絶対防御将軍,2
サイバティック・ワイバーン,2
磁石の戦士γ,2
時の機械－タイム・マシーン,2
ものマネ幻想師,2
トゥーン・ワールド,2
イリュージョンの儀式,2
攻撃の無力化,2
増殖,2
７カード,2
光の封札剣,2
連鎖破壊,2
催眠術,2
天使のサイコロ,2
悪魔のサイコロ,2
スケープ・ゴート,2
手札抹殺,2
精霊の鏡,2
黒魔術のカーテン,2
虫除けバリアー,2
マジックアーム・シールド,2
墓守の使い魔,2
邪悪な儀式,2
成金ゴブリン,2
通行税,2
最終戦争,2
強奪,2
聖域の歌声,2
押収,2
いたずら好きな双子悪魔,2
闇の訪れ,2
天使の手鏡,2
移り気な仕立屋,2
突進,2
頼もしき守護者,2
強引な番兵,2
魔力の枷,2
サイクロン,2
ハリケーン,2
苦渋の選択,2
毒蛇の牙,2
サイバーポッド,2
光の追放者,2
巨大ネズミ,2
センジュ・ゴッド,2
UFOタートル,2
秒殺の暗殺者,2
カラテマン,2
ダークゼブラ,2
ジャイアントウィルス,2
素早いモモンガ,2
ダークファミリア,2
シャインエンジェル,2
ボアソルジャー,2
グリズリーマザー,2
ドラゴンフライ,2
セレモニーベル,2
ソニックバード,2
キラー・トマト,2
コトダマ,2
ガイアパワー,2
ウォーターワールド,2
バーニングブラッド,2
デザートストーム,2
シャインスパーク,2
ダークゾーン,2
平和の使者,2
道連れ,2
突風,2
猛吹雪,2
ガラスの鎧,2
世界の平定,2
魔法探査の石版,2
金属探知器,2
白衣の天使,2
便乗,2
強制接収,2
ゴブリンの小役人,2
ギャンブル,2
DNA改造手術,2
一族の掟,2
補充要員,2
白兵戦,2
大騒動,2
停戦協定,2
聖なる輝き,2
正々堂々,2
王宮の勅命,2
死霊の誘い,2
マジカルシルクハット,2
抹殺の使徒,2
撲滅の使徒,2
浅すぎた墓穴,2
早すぎた埋葬,2
検閲,2
禁止令,2
カオスポッド,2
デスハムスター,2
フレイムキラー,2
ビッグバンドラゴン,2
バーニングソルジャー,2
ミスターボルケーノ,2
炎の剣豪,2
精神寄生体,2
メカファルコン,2
ダークバット,2
フライングマンティス,2
バードマン,2
鬼タンクT－３４,2
ガトリングバギー,2
バスター・ブレイダー,2
刻の封印,2
墓荒らし,2
ホーリー・エルフの祝福,2
真実の眼,2
砂塵の大竜巻,2
リビングデッドの呼び声,2
ソロモンの律法書,2
地殻変動,2
ホーリージャベリン,2
銀幕の鏡壁,2
イタクァの暴風,2
磁石の戦士マグネット・バルキリオン,2
ドラゴンに乗るワイバーン,2
ブラッド・ヴォルス,2
破壊輪,2
アクアの合唱,2
セベクの祝福,2
魔封じの芳香,2
フォース,2
竜殺しの剣,2
旧神の印,2
太陽の戦士,2
王虎ワンフー,2
コマンド・ナイト,2
ベイオウルフ,2
魔導紳士－J,2
ノーブル・ド・ノワール,2
バード・フェイス,2
クルーエル,2
天空騎士パーシアス,2
妖精王オベロン,2
ナーガ,2
海神の巫女,2
機械軍曹,2
雷電娘々,2
溶岩大巨人,2
ドル・ドラ,2
お注射天使リリー,2
リーフ・フェアリー,2
アーマード・フライ,2
サイファー・スカウター,2
X・E・N・O,2
魂喰らい,2
ニュート,2
シェイプ・スナッチ,2
電磁ミノ虫,2
タイム・イーター,2
グラッジ,2
異形の従者,2
リグラス・リーパー,2
モイスチャー星人,2
ボーンハイマー,2
フレイムダンサー,2
鉄の騎士 ギア・フリード,2
ヒューマノイド・スライム,2
ワームドレイク,2
ヒューマノイド・ドレイク,2
リバイバルスライム,2
フライング・フィッシュ,2
半魚獣・フィッシャービースト,2
ロケット戦士,2
伝説のフィッシャーマン,2
レアメタル・レディ,2
レアメタル・ソルジャー,2
雷ウナギ,2
スフィラスレディ,2
シャイン・アビス,2
暗黒魔族ギルファー・デーモン,2
ガジェット・ソルジャー,2
仮面呪術師カースド・ギュラ,2
仮面魔獣マスクド・ヘルレイザー,2
メルキド四面獣,2
女邪神ヌヴィア,2
仮面魔獣デス・ガーディウス,2
遺言の仮面,2
クロス・ソウル,2
選ばれし者,2
弱体化の仮面,2
仮面魔獣の儀式,2
魔力無力化の仮面,2
生贄封じの仮面,2
呪魂の仮面,2
凶暴化の仮面,2
死者の生還,2
稲妻の剣,2
竜巻海流壁,2
メサイアの蟻地獄,2
モンスターBOX,2
激流葬,2
融合解除,2
スライム増殖炉,2
悪夢の鉄檻,2
無限の手札,2
ディフェンド・スライム,2
生還の宝札,2
魔法の筒,2
神の恵み,2
燃えさかる大地,2
大寒波,2
メテオ・ストライク,2
リミッター解除,2
シフトチェンジ,2
孵化,2
ワーム・ホール,2
マジック・ドレイン,2
グラヴィティ・バインド－超重力の網－,2
誘惑のシャドウ,2
ギロチン・クワガタ,2
隼の騎士,2
爆弾かめ虫,2
死の４つ星てんとう虫,2
超時空戦闘機ビック・バイパー,2
ヴァンパイア・ベビー,2
猛進する剣角獣,2
海賊船スカルブラッド号,2
隻眼のホワイトタイガー,2
ゴブリン突撃部隊,2
島亀,2
翼を織りなす者,2
科学特殊兵,2
怨念集合体,2
死神ブーメラン,2
恵みの雨,2
モンスター回収,2
零式魔導粉砕機,2
強制転移,2
エレメントの泉,2
千本ナイフ,2
死のマジック・ボックス,2
地盤沈下,2
女豹の傭兵,2
味方殺しの女騎士,2
アマゾネスの射手,2
紅蓮の女守護兵,2
ビッグバンガール,2
炎の女暗殺者,2
ファイヤーソーサラー,2
そよ風の精霊,2
踊る妖精,2
ピクシーガーディアン,2
女帝カマキリ,2
プリンセス人魚,2
ヒステリック天使,2
バイオ僧侶,2
慈悲深き修道女,2
聖女ジャンヌ,2
堕天使マリー,2
強欲な瓶,2
幻惑の巻物,2
団結の力,2
魔導師の力,2
死者への供物,2
エクスチェンジ,2
絵画に潜む者,2
夢魔の亡霊,2
首なし騎士,2
ダーク・ネクロフィア,2
ウィジャ盤,2
暗黒の扉,2
地縛霊,2
沈黙の邪悪霊,2
死霊伯爵,2
黒衣の大賢者,2
王家の神殿,2
アポピスの化神,2
魔霧雨,2
マジック・ランプ,2
ハーピィ・レディ・SB,2
聖獣セルケト,2
疾風の暗黒騎士ガイア,2
翻弄するエルフの剣士,2
ダーク・ヒーロー ゾンバイア,2
ポルターガイスト,2
昇霊術師 ジョウゲン,2
霊滅術師 カイクウ,2
幻想召喚師,2
魂を喰らう者 バズー,2
神聖なる魂,2
炎の精霊 イフリート,2
水の精霊 アクエリア,2
岩の精霊 タイタン,2
風の精霊 ガルーダ,2
俊足のギラザウルス,2
トルネード・バード,2
幻影の妖精,2
物資調達員,2
魔力吸収球体,2
力の集約,2
王宮の号令,2
フォースフィールド,2
死霊の巣,2
墓荒らしの報い,2
守護霊のお守り,2
カウンターパンチ,2
無差別破壊,2
裸の王様,2
サイクロンレーザー,2
死のメッセージ「E」,2
死のメッセージ「A」,2
死のメッセージ「T」,2
死のメッセージ「H」,2
おとり人形,2
フュージョン・ゲート,2
疫病ウィルス ブラックダスト,2
奇跡の発掘,2
竜魂の力,2
霊魂消滅,2
怨霊の湿地帯,2
処刑人－マキュラ,2
アマゾネスの鎖使い,2
万力魔神バイサー・デス,2
冥界の魔王 ハ・デス,2
魔人 ダーク・バルター,2
レッサー・デーモン,2
憑依するブラッド・ソウル,2
ハ・デスの使い魔,2
スカル・ナイト,2
ガーゴイルの道化師,2
ツインヘッド・ケルベロス,2
レッド・サイクロプス,2
冥王の咆哮,2
死の演算盤,2
生命吸収装置,2
冥界流傀儡術,2
魂粉砕,2
ダブルトラップ,2
無敗将軍 フリード,2
投石部隊,2
切り込み隊長,2
ドラゴン・ウォリアー,2
戦士ダイ・グレファー,2
聖なる守り手,2
辺境の大賢者,2
ならず者傭兵部隊,2
７つの武器を持つハンター,2
デーモン・テイマー,2
ドラゴン・ライダー,2
連合軍,2
増援,2
光の護封陣,2
戦士の生還,2
迎撃準備,2
陽動作戦,2
タイラント・ドラゴン,2
スピア・ドラゴン,2
スピリット・ドラゴン,2
洞窟に潜む竜,2
リザード兵,2
デス・デーモン・ドラゴン,2
グランド・ドラゴン,2
グレイ・ウイング,2
軍隊竜,2
ドラゴンの宝珠,2
巨竜の羽ばたき,2
火竜の火炎弾,2
スタンピング・クラッシュ,2
超再生能力,2
竜の逆鱗,2
バーストブレス,2
エメラルド・ドラゴン,2
非常食,2
魔法除去細菌兵器,2
現世と冥界の逆転,2
ファイバーポッド,2
オプション,2
磨破羅魏,2
因幡之白兎,2
八汰烏,2
雷帝神,2
八俣大蛇,2
偉大天狗,2
竜宮之姫,2
火之迦具土,2
阿修羅,2
不死之炎鳥,2
レアメタル・ヴァルキリー,2
レアメタル・ナイト,2
封神鏡,2
明鏡止水の心,2
伝説の都 アトランティス,2
融合武器ムラサメブレード,2
盗人の煙玉,2
霊子エネルギー固定装置,2
セカンド・チャンス,2
天変地異,2
盗賊の極意,2
ジェノサイド・ウォー,2
マジック・ガードナー,2
鎖付き爆弾,2
ロスト,2
バブル・クラッシュ,2
王宮の弾圧,2
奈落の落とし穴,2
不吉な占い,2
スピリットの誘い,2
体力増強剤スーパーZ,2
はたき落とし,2
デビル・コメディアン,2
ラストバトル！,2
デス・ヴォルストガルフ,2
カイザー・シーホース,2
ヴァンパイア・ロード,2
ゴラ・タートル,2
一刀両断侍,2
ポイズンマミー,2
砂塵の悪霊,2
王族親衛隊,2
さまようミイラ,2
大神官デ・ザード,2
スカラベの大群,2
イナゴの軍勢,2
ジャイアントマミー,2
八つ手サソリ,2
守護者スフィンクス,2
ピラミッド・タートル,2
ダイス・ポット,2
黒蠍盗掘団,2
首領・ザルーグ,2
デス・ラクーダ,2
不死王リッチー,2
半蛇人サクズィー,2
生者の書－禁断の呪術－,2
太陽の書,2
月の書,2
悪夢の蜃気楼,2
財宝への隠し通路,2
ミイラの呼び声,2
おくびょうかぜ,2
ピラミッドパワー,2
ツタン仮面,2
旅人の試練,2
底なし流砂,2
王家の呪い,2
つり天井,2
黄金の邪神像,2
呪われた棺,2
