禁止,制限,準制限,無制限,初登場
,,,ダーク・グレイ,螺旋槍殺
,,,白い泥棒,拘束解除
,,,カオス・ウィザード,遠心分離フィールド
,,,ナイトメア・スコーピオン,契約の履行
,,,本の精霊 ホーク・ビショップ,再融合
,,,物陰の協力者,百獣大行進
,,,地獄の裁判,クロスカウンター
,,,ドリーム・ピエロ,ポールポジション
,,,眠れる獅子,罰ゲーム！
,,,ヤマタノ竜絵巻,威嚇する咆哮
,,,ダーク・プラント,鳳翼の爆風
,,,アイアン・ハート,キャトルミューティレーション
,,,セイント・バード,本陣強襲
,,,戦いの神 オリオン,D.D.ダイナマイト
,,,アサシン,エレメンタルバースト
,,,ラムーン,強引な安全協定
,,,眠り子,カース・オブ・ヴァンパイア
,,,ウェザー・コントロール,ユニオン・アタック
,,,オクトバーサー,ブラッド・サッカー
,,,１３人目の埋葬者,威圧する魔眼
,,,炎の騎士 キラー,真紅眼の闇竜
,,,聖なる鎖,ヴァンパイアジェネシス
,,,死者の腕,正義の味方 カイバーマン
,,,魔人デスサタン,マシンナーズ・ソルジャー
,,,なぞの手,マシンナーズ・ディフェンダー
,,,竜魂の石像,マシンナーズ・スナイパー
,,,青眼の銀ゾンビ,督戦官コヴィントン
,,,トードマスター,マシンナーズ・フォース
,,,デビルツムリ,E・HERO フェザーマン
,,,炎を操る者,E・HERO バーストレディ
,,,時の魔人 ネクロランサ,E・HERO クレイマン
,,,風の番人 ジン,E・HERO スパークマン
,,,魅惑の怪盗,ハネクリボー
,,,髑髏の寺院,古代の機械巨人
,,,モンスター・エッグ,古代の機械獣
,,,闇を司る影,古代の機械兵士
,,,ランプの魔人,ミレニアム・スコーピオン
,,,カクタス,アルティメット・インセクト LV７
,,,赤き剣のライムンドス,ロストガーディアン
,,,とろける赤き影,ヒエラコスフィンクス
,,,死神のドクロイゾ,クリオスフィンクス
,,,ファイヤー・デビル,モアイ迎撃砲
,,,ラーバス,メガロック・ドラゴン
,,,ハードアーマー,ダミー・ゴーレム
,,,火炎草,グレイヴ・オージャ
,,,マンイーター,マイン・ゴーレム
,,,ディッグ・ビーク,モンク・ファイター
,,,マグネッツ１号,マスターモンク
,,,マグネッツ２号,ガーディアン・スタチュー
,,,悪魔の知恵,メデューサ・ワーム
,,,サファイヤ・リサーク,異次元の生還者
,,,ゼミアの神,ミドル・シールド・ガードナー
,,,ジャジメント・ザ・ハンド,白い忍者
,,,謎の傀儡師,地霊使いアウス
,,,太古の壺,水霊使いエリア
,,,暗黒火炎龍,火霊使いヒータ
,,,深淵の冥王,風霊使いウィン
,,,ハープの精,電池メン－単三型
,,,大王目玉,デス・ウォンバット
,,,アーメイル,ワイトキング
,,,ダーク・プリズナー,大邪神 レシェフ
,,,ハリケル,精霊術師 ドリアード
,,,魔天老,E・HERO フレイム・ウィングマン
,,,ファイヤー・アイ,E・HERO サンダー・ジャイアント
,,,モンスタートル,受け継がれる力
,,,キラー・ザ・クロー,ダブルアタック
,,,サターナ,充電器
,,,アルラウネ,ゴッドハンド・スマッシュ
,,,ダークシェイド,ドリアードの祈り
,,,仮面道化,大邪神の儀式
,,,ホーリー・パワー,伝説の黒帯
,,,ジャグラー,ニトロユニット
,,,コピックス,うごめく影
,,,ミラージュ,鉄壁の布陣
,,,ヘルゲート・ディーグ,ヒーロー・シグナル
,,,ファランクス,ピケルの読心術
,,,フュージョニスト,岩盤爆破
,,,レッド・エース,コザッキーの自爆装置
,,,ララ・ライウーン,融合失敗
,,,キーメイス,レベル変換実験室
,,,タートル・タイガー,岩投げアタック
,,,魔人 テラ,墓場からの誘い
,,,ドローン,トークン謝肉祭
,,,アンモ・ナイト,魔力終了宣告
,,,ゾンビランプ,王宮の陥落
,,,ハッピー・ラヴァー,孤高の格闘家
,,,ペンギン・ナイト,ヘルフレイムエンペラー
,,,プチリュウ,ミュータント・ハイブレイン
,,,キラーパンダ,聖導騎士イシュザーク
,,,デーモン・ビーバー,海竜神－ネオダイダロス
,,,ゴースト,森の番人グリーン・バブーン
,,,マキャノン,サイクロイド
,,,ドローバ,パトロイド
,,,グロス,ジャイロイド
,,,スピック,スチームロイド
,,,プチテンシ,ドリルロイド
,,,ダークキラー,ユーフォロイド
,,,スティング,ジェット・ロイド
,,,サンダー・キッズ,サイバー・ドラゴン
,,,バビロン,フレンドッグ
,,,アクア・マドール,ダーク・カタパルター
,,,紫炎の影武者,E・HERO バブルマン
,,,フレイム・ゴースト,スチームジャイロイド
,,,ドリアード,ユーフォロイド・ファイター
,,,ブラック・デーモンズ・ドラゴン,サイバー・ツイン・ドラゴン
,,,二つの口を持つ闇の支配者,サイバー・エンド・ドラゴン
,,,ソリテュード,パワー・ボンド
,,,仮面魔道士,摩天楼 －スカイスクレイパー－
,,,蜘蛛男,召喚僧サモンプリースト
,,,ミッドナイト・デビル,邪神ドレッド・ルート
,,,轟きの大海蛇,ハネクリボー LV１０
,,,トラップ・マスター,進化する翼
,,,呪われし魔剣,バブル・シャッフル
,,,デス・ストーカー,スパークガン
,,,ヒトデンチャク,冥王竜ヴァンダルギオン
,,,森の屍,ソイツ
,,,命の砂時計,マッド・ロブスター
,,,レア・フィッシュ,ジェリービーンズマン
,,,ウッド・ジョーカー,サイバネティック・マジシャン
,,,魔人銃,サイバネティック・サイクロプス
,,,暗黒魔神 ナイトメア,メカニカル・ハウンド
,,,斬首の美女,サイバーデーモン
,,,森の住人 ウダン,ゴブリンエリート部隊
,,,冥界の番人,巨大戦艦 クリスタル・コア
,,,はにわ,G・コザッキー
,,,ヤシの木,不屈闘士レイレイ
,,,ヴィシュワ・ランディー,守護霊アイリン
,,,デス・フット,ドイツ
,,,闇の暗殺者,デスガエル
,,,運命のろうそく,悪魂邪苦止
,,,ウォーター・エレメント,引きガエル
,,,マグマン,ディノインフィニティ
,,,D・ナポレオン,電池メン－単二型
,,,魂を狩る者,黒魔導師クラン
,,,ルート・ウォーター,D・D・M
,,,マスター・アン・エキスパート,融合回収
,,,水の踊り子,ミラクル・フュージョン
,,,氷,龍の鏡
,,,恍惚の人魚,システム・ダウン
,,,キャッツ・フェアリー,死の合唱
,,,エンジェル・魔女,謙虚な壺
,,,未熟な悪魔,シエンの間者
,,,プリヴェント・ラット,ファイアーダーツ
,,,異次元の戦士,地霊術－「鉄」
,,,ストーン・アルマジラー,水霊術－「葵」
,,,沼地の魔獣王,火霊術－「紅」
,,,古代魔導士,風霊術－「雅」
,,,月の女神 エルザェム,ライバル登場！
,,,悪魔の鏡,マジカル・エクスプロージョン
,,,アイルの小剣士,ライジング・エナジー
,,,ウォー・アース,異次元の落とし穴
,,,ウィング・エッグ・エルフ,徴兵令
,,,怒りの海王,ディメンション・ウォール
,,,剣の女王,反撃準備
,,,悪の無名戦士,方舟の選別
,,,闇にしたがう者,闇よりの罠
,,,破壊神 ヴァサーゴ,アルカナ ナイトジョーカー
,,,ウェザ,ギルフォード・ザ・レジェンド
,,,メギラス・ライト,荒野の女戦士
,,,マブラス,神剣－フェニックスブレード
,,,悟りの老樹,デスサイズ・キラー
,,,緑樹の霊王,E・HERO シャイニング・フレア・ウィングマン
,,,陸戦型 バグロス,レベル調整
,,,北風と太陽,おジャマッスル
,,,ゴーゴン・エッグ,おジャマジック
,,,プチモス,V－タイガー・ジェット
,,,キング・スモーク,ブレード・スケーター
,,,王座の守護者,リボーン・ゾンビ
,,,バーサーカー,地獄戦士
,,,スリーピィ,W－ウィング・カタパルト
,,,ホログラー,炎獄魔人ヘル・バーナー
,,,陰陽師 タオ,E・HERO エッジマン
,,,デビル・スネーク,E・HERO ワイルドマン
,,,ゲート・キーパー,ハイドロゲドン
,,,黒い影の鬼王,オキシゲドン
,,,闇の芸術家,ウォーター・ドラゴン
,,,チェンジ・スライム,エトワール・サイバー
,,,月の使者,VW－タイガー・カタパルト
,,,炎の魔神,VWXYZ－ドラゴン・カタパルトキャノン
,,,サイコ・カッパー,サイバー・ブレイダー
,,,伝説の剣豪 MASAKI,E・HERO ランパートガンナー
,,,魔装騎士ドラゴネス,E・HERO テンペスター
,,,B・プラント,E・HERO ワイルドジャギーマン
,,,一眼の盾竜,ヘル・アライアンス
,,,魔界の機械兵,フェザー・ショット
,,,魔頭を持つ邪竜,ボンディング－H２O
,,,音女,ヘル・ポリマー
,,,ドレイク,ヘル・ブラスト
,,,伝説の剣,ヒーローバリア
,,,闇の破神剣,フェザー・ウィンド
,,,闇・エネルギー,暗黒界の騎士 ズール
,,,デーモンの斧,巨大戦艦 テトラン
,,,レーザー砲機甲鎧,ナノブレイカー
,,,火器付機甲鎧,連弾の魔術師
,,,エルフの光,暗黒界の尖兵 ベージ
,,,猛獣の歯,暗黒界の狩人 ブラウ
,,,はがねの甲羅,暗黒界の狂王 ブロン
,,,魔菌,暗黒界の軍神 シルバ
,,,黒いペンダント,暗黒界の武神 ゴルド
,,,銀の弓矢,暗黒界の斥候 スカー
,,,光の角,憑依装着－アウス
,,,一角獣のホーン,憑依装着－エリア
,,,ドラゴンの秘宝,憑依装着－ヒータ
,,,電撃鞭,憑依装着－ウィン
,,,サイバー・ボンテージ,暗黒界の雷
,,,万華鏡－華麗なる分身－,ブランチ
,,,魔性の月,ボスラッシュ
,,,『守備』封じ,暗黒界に続く結界通路
,,,悪魔のくちづけ,暗黒よりの軍勢
,,,紫水晶,闇の取引
,,,秘術の書,二者一両損
,,,覚醒,ふるい落とし
,,,機械改造工場,同姓同名同盟
,,,体温の上昇,ゲットライド！
,,,フォロー・ウィンド,融合禁止エリア
,,,ポセイドンの力,レベル制限A地区
,,,ドラゴン族・封印の壺,アームド・チェンジャー
,,,森,テュアラティン
,,,荒野,E・HERO ネクロダークマン
,,,山,ヒーロー・ヘイロー
,,,草原,E・HERO マッドボールマン
,,,海,黒魔導の執行官
,,,闇,魔導獣 ケルベロス
,,,モウヤンのカレー,マジックブラスト
,,,レッド・ポーション,King of Destruction - Xexex
,,,ゴブリンの秘薬,Queen of Fate - Eternia
,,,天使の生き血,E・HERO スチーム・ヒーラー
,,,治療の神 ディアン・ケト,バースト・リターン
,,,火の粉,バブル・ショット
,,,ファイヤー・ボール,バブルイリュージョン
,,,火あぶりの刑,クレイ・チャージ
,,,昼夜の大火事,アームド・ドラゴン LV１０
,,,火炎地獄,打ち出の小槌
,,,六芒星の呪縛,地獄の暴走召喚
,,,闇をかき消す光,防御輪
,,,ヤランゾ,復活の墓穴
,,,女剣士カナン,ランサー・ドラゴニュート
,,,タクリミノス,ミスト・ボディ
,,,くいぐるみ,アックス・ドラゴニュート
,,,メガソニック・アイ,ホワイト・ホーンズ・ドラゴン
,,,スーパー・ウォー・ライオン,神炎皇ウリア
,,,ヤマドラン,降雷皇ハモン
,,,ホーリー・ナイト・ドラゴン,幻魔皇ラビエル
,,,２人３脚ゾンビ,E・HERO バブルマン・ネオ
,,,ゼラ,ヒーロー・キッズ
,,,トビペンギン,サイバー・バリア・ドラゴン
,,,千年の盾,サイバー・レーザー・ドラゴン
,,,妖精の贈りもの,古代の歯車
,,,カオス・ソルジャー,ヒーローハート
,,,デビルズ・ミラー,磁力の召喚円 LV２
,,,迷宮壁－ラビリンス・ウォール－,古代の機械工場
,,,地雷蜘蛛,古代の採掘機
,,,シャドウ・グール,幻魔の殉教者
,,,ウォール・シャドウ,サイクロン・ブーメラン
,,,迷宮の魔戦車,フォトン・ジェネレーター・ユニット
,,,雷魔神－サンガ,古代の機械城
,,,風魔神－ヒューガ,スーパージュニア対決！
,,,水魔神－スーガ,ミラクル・キッズ
,,,ゲート・ガーディアン,アタック・リフレクター・ユニット
,,,ダンジョン・ワーム,ダメージ・コンデンサー
,,,地獄の魔物使い,埋蔵金の地図
,,,ガーゴイル・パワード,ヒーロースピリッツ
,,,復讐のソード・ストーカー,古代の機械砲台
,,,ランプの魔精・ラ・ジーン,プロト・サイバー・ドラゴン
,,,青眼の究極竜,瞬着ボマー
,,,トゥーン・アリゲーター,機械王－プロトタイプ
,,,ルード・カイザー,巨大戦艦 カバード・コア
,,,パロット・ドラゴン,異次元への案内人
,,,ダーク・ラビット,チェイン・スラッシャー
,,,デビル・ボックス,封魔の伝承者
,,,ハーピィズペット竜,天下人 紫炎
,,,魔法のランプ,寄生体ダニー
,,,振り子刃の拷問機械,ゴキポン
,,,魔導騎士ギルティア,静寂虫
,,,TM－１ランチャースパイダー,電動刃虫
,,,デビルゾア,オオアリクイクイアリ
,,,メタル・デビルゾア,セイバー・ビートル
,,,ゾーン・イーター,デビルドーザー
,,,鉄のサソリ,悪魔ガエル
,,,ダンシング・エルフ,魔法の国の王女－ピケル
,,,エンゼル・イヤーズ,魔法の国の王女－クラン
,,,レッグル,記憶破壊者
,,,ラージマウス,増幅する悪意
,,,異国の剣士,グラスファントム
,,,水陸の帝王,サンドモス
,,,牛鬼,神竜－エクセリオン
,,,モンスター・アイ,破滅の女神ルイン
,,,レオグン,終焉の王デミス
,,,シーホース,ガエル・サンデス
,,,キラー・マシーン,継承の印
,,,カッター・ロボ,王女の試練
,,,機械王,エンド・オブ・ザ・ワールド
,,,機械の巨兵,輪廻転生
,,,メタル・ドラゴン,因果切断
,,,カラクリ蜘蛛,ロスト・ネクスト
,,,バット,ジェネレーション・チェンジ
,,,ギガテック・ウルフ,全弾発射
,,,機械の兵隊,成功確率０％
,,,シャベル・クラッシャー,オプションハンター
,,,メカ・ハンター,ゴブリンのその場しのぎ
,,,ブロッカー,誤作動
,,,ミスター・ボンバー,クリボーを呼ぶ笛
,,,ゴルゴイル,E・HERO エリクシーラー
,,,ギガント,守護神エクゾード
,,,デビル・フランケン,グレート・スピリット
,,,コマンダー,断層地帯
,,,人造人間７号,E・HERO ワイルド・ウィングマン
,,,ダイス・アルマジロ,E・HERO ネクロイド・シャーマン
,,,天空竜,黄金のホムンクルス
,,,サンダー・ドラゴン,原始太陽ヘリオス
,,,ストーン・ドラゴン,ヘリオス・デュオ・メギストス
,,,カイザー・ドラゴン,ヘリオス・トリス・メギストス
,,,きまぐれの女神,E・HERO ネオス
,,,水の魔導師,E・HERO フェニックスガイ
,,,氷水,E・HERO シャイニング・フェニックスガイ
,,,ウンディーネ,E・HERO セイラーマン
,,,エンシェント・エルフ,D-HERO デビルガイ
,,,美しき魔物使い,D-HERO ダイハードガイ
,,,ウォーター・ガール,D-HERO ダイヤモンドガイ
,,,ホワイト・ドルフィン,D-HERO ドレッドガイ
,,,深海に潜むサメ,サイバー・ジラフ
,,,メタル・フィッシュ,サイバー・フェニックス
,,,神魚,サイバー・チュチュ
,,,レインボー・フィッシュ,サイバー・ジムナティクス
,,,サイボーグ・バス,サイバー・プリマ
,,,アクア・ドラゴン,ガードペナルティ
,,,海の竜王,幽獄の時計塔
,,,ツルプルン,ミスフォーチュン
,,,海を守る戦士,グランドクロス
,,,アクア・スネーク,H－ヒートハート
,,,シーザリオン,E－エマージェンシーコール
,,,スパイクシードラ,R－ライトジャスティス
,,,３万年の白亀,O－オーバーソウル
,,,復讐のカッパ,ヒーローフラッシュ！！
,,,カニカブト,エレメンタル・チャージ
,,,ザリガン,デステニー・デストロイ
,,,千年ゴーレム,D－タイム
,,,破壊のゴーレム,デステニー・シグナル
,,,ガンロック,D－シールド
,,,岩の戦士,エレメンタル・アブソーバー
,,,ストーン・ゴースト,マクロコスモス
,,,雷神の怒り,サーチライトメン
,,,地雷獣,ビクトリー・バイパー XX０３
,,,ボルト・エスカルゴ,超電磁稼動ボルテック・ドラゴン
,,,ボルト・ペンギン,ハーピィズペット仔竜
,,,雷仙人,光神機－閃空
,,,エレクトリック・スネーク,光神機－桜火
,,,ウイング・イーグル,光神機－轟龍
,,,裁きの鷹,豊穣のアルテミス
,,,スカイ・ハンター,ロイヤルナイツ
,,,紅陽鳥,紫光の宣告者
,,,クイーン・バード,緑光の宣告者
,,,青い忍者,救済のレイヤード
,,,マジカル・ゴースト,閃光の追放者
,,,ソウル・ハンター,裁きを下す者－ボルテニス
,,,エア・イーター,ガード・ドッグ
,,,朱雀,真空イタチ
,,,シーカーメン,荒ぶるアウス
,,,ガニグモ,逆巻くエリア
,,,インセクション,燃え盛るヒータ
,,,空の昆虫兵,吹き荒れるウィン
,,,コカローチ・ナイト,電池メン－単一型
,,,クワガタ・アルファ,疾風鳥人ジョー
,,,バーグラー,光神化
,,,プラグティカル,パワーカプセル
,,,ガルヴァス,次元の裂け目
,,,アメーバ,ライフチェンジャー
,,,コロガーシ,ゴッドバードアタック
,,,ブークー,奇跡の光臨
,,,フラワー・ウルフ,キックバック
,,,レインボー・フラワー,神鳥シムルグ
,,,マグナム・リリィ,ソニック・シューター
,,,ニードル・ボール,ヒステリック・パーティー
,,,クジャック,トイ・マジシャン
,,,スーパースター,
,,,マハー・ヴァイロ,
,,,レインボー・マリン・マーメイド,
,,,音楽家の帝王,
,,,ウィルミー,
,,,ヤドカリュー,
,,,モリンフェン,
,,,青虫,
,,,竜殺者,
,,,人喰い虫,
,,,ドラゴヒューマン,
,,,タートル・狸,
,,,魔界植物,
,,,プリズマン,
,,,ゲール・ドグラ,
,,,クレイジー・フィッシュ,
,,,メカ・ザウルス,
,,,ブラキオレイドス,
,,,笑う花,
,,,ビーン・ソルジャー,
,,,キャノン・ソルジャー,
,,,王室前のガーディアン,
,,,ブレイブ・シザー,
,,,イースター島のモアイ,
,,,ムカムカ,
,,,サンド・ストーン,
,,,岩石カメッター,
,,,ファイヤー・クラーケン,
,,,タートル・バード,
,,,デス・バード,
,,,巨大な怪鳥,
,,,悪魔の調理師,
,,,スター・ボーイ,
,,,山の精霊,
,,,首狩り魔人,
,,,ミリス・レディエント,
,,,クラッシュマン,
,,,フレイム・ケルベロス,
,,,エルディーン,
,,,砂の魔女,
,,,ヂェミナイ・エルフ,
,,,クワガー・ヘラクレス,
,,,イビー,
,,,カマキラー,
,,,メカレオン,
,,,メガ・サンダーボール,
,,,コケ,
,,,デッド・シャーク,
,,,スケルエンジェル,
,,,ハネハネ,
,,,ナイル,
,,,舌魚,
,,,大砲だるま,
,,,スケルゴン,
,,,魚ギョ戦士,
,,,グリグル,
,,,骨ネズミ,
,,,カエルスライム,
,,,ベヒゴン,
,,,ダーク・エルフ,
,,,ワイバーン,
,,,マタンゴ,
,,,バーバリアン１号,
,,,レッド・ドラゴン,
,,,さまよえる亡者,
,,,鋼鉄の巨神像,
,,,ポット・ザ・トリック,
,,,オシロ・ヒーロー,
,,,異次元からの侵略者,
,,,レッサー・ドラゴン,
,,,ニードルワーム,
,,,屋根裏の物の怪,
,,,金色の魔象,
,,,黒き人食い鮫,
,,,ヨルムンガルド,
,,,魔界のイバラ,
,,,恐竜人,
,,,生き血をすするもの,
,,,トラコドン,
,,,密林の黒竜王,
,,,裁きを下す女帝,
,,,ベビー・ティーレックス,
,,,深き森の長老,
,,,ツンドラの大蠍,
,,,カラス天狗,
,,,レオ・ウィザード,
,,,深淵に咲く花,
,,,パトロール・ロボ,
,,,タクヒ,
,,,ヴァルキリー,
,,,ウェザー・レポート,
,,,封印の鎖,
,,,メカニカルスネイル,
,,,ドッペルゲンガー,
,,,モン・ラーバス,
,,,命ある花瓶,
,,,テンタクル・プラント,
,,,くちばしヘビ,
,,,ミューズの天使,
,,,炎を食らう大亀,
,,,バラに棲む悪霊,
,,,アブソリューター,
,,,大食いグール,
,,,ペイルビースト,
,,,リトル・キメラ,
,,,スコール,
,,,ロックメイス,
,,,テンダネス,
,,,ペンギン・ソルジャー,
,,,フェアリー・ドラゴン,
,,,イビル・ラット,
,,,リクイド・ビースト,
,,,ツインテール,
,,,グレード・ビル,
,,,フレンドシップ,
,,,ブレードフライ,
,,,でんきトカゲ,
,,,悪魔の偵察者,
,,,ハイ・プリーステス,
,,,双頭の雷龍,
,,,ハンター・スパイダー,
,,,アーマード・スターフィッシュ,
,,,勇気の砂時計,
,,,マリン・ビースト,
,,,戦場の死装束,
,,,岩石の精霊,
,,,スネーク・パーム,
,,,サキュバス・ナイト,
,,,セイレーン,
,,,泥に潜み棲むもの,
,,,満ち潮のマーマン,
,,,泉の妖精,
,,,海原の女戦士,
,,,キャット・レディ,
,,,見習い魔女,
,,,鎧ネズミ,
,,,古代のトカゲ戦士,
,,,月明かりの乙女,
,,,ストーンジャイアント,
,,,誕生の天使,
,,,ナイト・リザード,
,,,女王の影武者,
,,,冠を戴く蒼き翼,
,,,トレント,
,,,紅葉の女王,
,,,水陸両用バグロス,
,,,アシッドクロウラー,
,,,王座の侵略者,
,,,イリュージョン・シープ,
,,,ディスク・マジシャン,
,,,フレイム・ヴァイパー,
,,,ロイヤルガード,
,,,キラー・ブロッブ,
,,,ひょうすべ,
,,,マシン・アタッカー,
,,,響女,
,,,ウィップテイル・ガーゴイル,
,,,鎖付きブーメラン,
,,,迷宮変化,
,,,戦士抹殺,
,,,サラマンドラ,
,,,成仏,
,,,巨大化,
,,,メタル化・魔法反射装甲,
,,,酸の嵐,
,,,トゲトゲ神の殺虫剤,
,,,神の息吹,
,,,永遠の渇水,
,,,シャイン・キャッスル,
,,,闇の呪縛,
,,,カオスの儀式,
,,,ゼラの儀式,
,,,ライオンの儀式,
,,,悪魔鏡の儀式,
,,,踊りによる誘発,
,,,ハンバーガーのレシピ,
,,,ローの祈り,
,,,粘着テープの家,
,,,ねずみ取り,
,,,硫酸のたまった落とし穴,
,,,万能地雷グレイモヤ,
,,,天狗のうちわ,
,,,シモッチによる副作用,
,,,あまのじゃくの呪い,
,,,偽物のわな,
,,,亀の誓い,
,,,チャクラの復活,
