禁止,制限,準制限,無制限,初登場
,,,デビルツムリ,覚醒戦士 クーフーリン
,,,炎を操る者,ネオス・フォース
,,,時の魔人 ネクロランサ,「A」細胞散布爆弾
,,,風の番人 ジン,古のルール
,,,魅惑の怪盗,合成魔術
,,,髑髏の寺院,覚醒の証
,,,モンスター・エッグ,ツイスター
,,,闇を司る影,漆黒の名馬
,,,ランプの魔人,カードトレーダー
,,,カクタス,暗黒界の取引
,,,赤き剣のライムンドス,紫炎の霞城
,,,とろける赤き影,摩天楼２－ヒーローシティ
,,,死神のドクロイゾ,英雄変化－リフレクター・レイ
,,,ファイヤー・デビル,ヒーロー・メダル
,,,ラーバス,六武衆推参！
,,,ハードアーマー,お家おとりつぶし
,,,火炎草,閃光弾
,,,マンイーター,融合体駆除装置
,,,ディッグ・ビーク,儀式降臨封印の書
,,,マグネッツ１号,正統なる血統
,,,マグネッツ２号,疾風！凶殺陣
,,,悪魔の知恵,夜霧のスナイパー
,,,サファイヤ・リサーク,畳返し
,,,ゼミアの神,ブリザード・ドラゴン
,,,ジャジメント・ザ・ハンド,メタル・シューター
,,,謎の傀儡師,デス・モスキート
,,,太古の壺,E・HERO レディ・オブ・ファイア
,,,暗黒火炎龍,アイス・ブリザード・マスター
,,,深淵の冥王,E・HERO フレイム・ブラスト
,,,ハープの精,エンジェルO７
,,,大王目玉,ハンター・アウル
,,,アーメイル,マスクド・チョッパー
,,,ダーク・プリズナー,天空勇士ネオパーシアス
,,,ハリケル,天空聖者メルティウス
,,,魔天老,智天使ハーヴェスト
,,,ファイヤー・アイ,勝利の導き手フレイヤ
,,,モンスタートル,コーリング・ノヴァ
,,,キラー・ザ・クロー,ホーリー・ジェラル
,,,サターナ,ジェルエンデュオ
,,,アルラウネ,女神の加護
,,,ダークシェイド,シャトルロイド
,,,仮面道化,ネイビィロイド
,,,ホーリー・パワー,アーマロイドガイデンゴー
,,,ジャグラー,E・HERO ボルテック
,,,コピックス,モザイク・マンティコア
,,,ミラージュ,闇の侯爵ベリアル
,,,ヘルゲート・ディーグ,宝玉獣 アメジスト・キャット
,,,ファランクス,宝玉獣 アンバー・マンモス
,,,フュージョニスト,宝玉の導き
,,,レッド・エース,宝玉獣 ルビー・カーバンクル
,,,ララ・ライウーン,宝玉獣 エメラルド・タートル
,,,キーメイス,宝玉獣 トパーズ・タイガー
,,,タートル・タイガー,宝玉獣 コバルト・イーグル
,,,魔人 テラ,宝玉獣 サファイア・ペガサス
,,,ドローン,虹の古代都市－レインボー・ルイン
,,,アンモ・ナイト,レア・ヴァリュー
,,,ゾンビランプ,ラスト・リゾート
,,,ハッピー・ラヴァー,ヴォルカニック・バレット
,,,ペンギン・ナイト,ヴォルカニック・バックショット
,,,プチリュウ,誘発召喚
,,,キラーパンダ,ヴォルカニック・デビル
,,,デーモン・ビーバー,ブレイズ・キャノン
,,,ゴースト,ファイヤー・ソウル
,,,マキャノン,ブレイズ・キャノン－トライデント
,,,ドローバ,クレイジー・ファイヤー
,,,グロス,ファイヤー・ウォール
,,,スピック,邪神アバター
,,,プチテンシ,邪神イレイザー
,,,ダークキラー,マジック・ストライカー
,,,スティング,ボマー・ドラゴン
,,,サンダー・キッズ,D-HERO Bloo-D
,,,バビロン,ヴォルカニック・リボルバー
,,,アクア・マドール,ヴォルカニック・エッジ
,,,紫炎の影武者,ヴォルカニック・ハンマー
,,,フレイム・ゴースト,E・HERO キャプテン・ゴールド
,,,ドリアード,墓守の司令官
,,,ブラック・デーモンズ・ドラゴン,アトランティスの戦士
,,,二つの口を持つ闇の支配者,キラーザウルス
,,,ソリテュード,天空の使者 ゼラディアス
,,,仮面魔道士,ジェネラルデーモン
,,,蜘蛛男,ハーピィ・クィーン
,,,ミッドナイト・デビル,天魔神 エンライズ
,,,轟きの大海蛇,天魔神 ノーレラス
,,,トラップ・マスター,天魔神 インヴィシル
,,,呪われし魔剣,忍者義賊ゴエゴエ
,,,デス・ストーカー,結界術師 メイコウ
,,,ヒトデンチャク,プレートクラッシャー
,,,森の屍,龍脈に棲む者
,,,命の砂時計,マグナ・スラッシュドラゴン
,,,レア・フィッシュ,グラビ・クラッシュドラゴン
,,,ウッド・ジョーカー,宝玉の恵み
,,,魔人銃,宝玉の氾濫
,,,暗黒魔神 ナイトメア,宝玉の契約
,,,斬首の美女,幸運の鉄斧
,,,森の住人 ウダン,トルネード
,,,冥界の番人,フィールドバリア
,,,はにわ,「A」細胞増殖装置
,,,ヤシの木,異界空間－Aゾーン
,,,ヴィシュワ・ランディー,宝玉の祈り
,,,デス・フット,ヴォルカニック・チャージ
,,,闇の暗殺者,魔の取引
,,,運命のろうそく,中央突破
,,,ウォーター・エレメント,究極・背水の陣
,,,マグマン,義賊の入門書
,,,D・ナポレオン,義賊の極意書
,,,魂を狩る者,閃光のバリア －シャイニング・フォース－
,,,ルート・ウォーター,押し売りゴブリン
,,,マスター・アン・エキスパート,押し売りゾンビ
,,,水の踊り子,集団催眠
,,,氷,ジェムフラッシュエナジー
,,,恍惚の人魚,ボルテック・コング
,,,キャッツ・フェアリー,ボタニカル・ライオ
,,,エンジェル・魔女,グラヴィティ・ベヒモス
,,,未熟な悪魔,六武衆の師範
,,,プリヴェント・ラット,魔王ディアボロス
,,,異次元の戦士,死王リッチーロード
,,,ストーン・アルマジラー,闇王プロメティス
,,,沼地の魔獣王,ミストデーモン
,,,古代魔導士,疫病狼
,,,月の女神 エルザェム,悪夢再び
,,,悪魔の鏡,サクリファイス・ソード
,,,アイルの小剣士,闇のデッキ破壊ウイルス
,,,ウォー・アース,コクーン・パーティ
,,,ウィング・エッグ・エルフ,C・チッキー
,,,怒りの海王,C・パンテール
,,,剣の女王,C・ピニー
,,,悪の無名戦士,コクーン・ヴェール
,,,闇にしたがう者,コンバート・コンタクト
,,,破壊神 ヴァサーゴ,ヒーロー逆襲
,,,ウェザ,ホープ・オブ・フィフス
,,,メギラス・ライト,NEX
,,,マブラス,リバース・オブ・ネオス
,,,悟りの老樹,ヴェノム・スワンプ
,,,緑樹の霊王,スネーク・ホイッスル
,,,陸戦型 バグロス,スネーク・レイン
,,,北風と太陽,ダメージ＝レプトル
,,,ゴーゴン・エッグ,蛇神の勅命
,,,プチモス,蛇神降臨
,,,キング・スモーク,異次元トンネル－ミラーゲート－
,,,王座の守護者,究極宝玉神 レインボー・ドラゴン
,,,バーサーカー,C・ラーバ
,,,スリーピィ,C・モーグ
,,,ホログラー,N・マリン・ドルフィン
,,,陰陽師 タオ,E・HERO マリン・ネオス
,,,デビル・スネーク,E・HERO ダーク・ブライトマン
,,,ゲート・キーパー,E・HERO マグマ・ネオス
,,,黒い影の鬼王,ネクロ・ガードナー
,,,闇の芸術家,おジャマ・ナイト
,,,チェンジ・スライム,ヴェノム・スネーク
,,,月の使者,ヴェノム・ボア
,,,炎の魔神,ヴェノム・サーペント
,,,サイコ・カッパー,毒蛇王ヴェノミノン
,,,伝説の剣豪 MASAKI,毒蛇神ヴェノミナーガ
,,,魔装騎士ドラゴネス,儀式の供物
,,,B・プラント,ヴェノム・ショット
,,,一眼の盾竜,エーリアン・ソルジャー
,,,魔界の機械兵,ヴォルカニック・ラット
,,,魔頭を持つ邪竜,暗黒界の番兵 レンジ
,,,音女,ハウンド・ドラゴン
,,,ドレイク,ヴェノム・コブラ
,,,伝説の剣,E・HERO アナザー・ネオス
,,,闇の破神剣,ヘルカイザー・ドラゴン
,,,闇・エネルギー,水面のアレサ
,,,デーモンの斧,幸運の笛吹き
,,,レーザー砲機甲鎧,ヴァリュアブル・アーマー
,,,火器付機甲鎧,巨人ゴーグル
,,,エルフの光,サンライズ・ガードナー
,,,猛獣の歯,魔族召喚師
,,,はがねの甲羅,灼熱王パイロン
,,,魔菌,シャドウ・ダイバー
,,,黒いペンダント,フリントロック
,,,銀の弓矢,グラビティ・ボール
,,,光の角,幻影コオロギ
,,,一角獣のホーン,水晶の占い師
,,,ドラゴンの秘宝,ネオスペース・コンダクター
,,,電撃鞭,氷炎の双竜
,,,サイバー・ボンテージ,デザート・ツイスター
,,,万華鏡－華麗なる分身－,カミソーリトカゲ
,,,魔性の月,ホーリーフレーム
,,,『守備』封じ,ダークフレーム
,,,悪魔のくちづけ,ゾンビ・マスター
,,,紫水晶,コクーン・リボーン
,,,秘術の書,サイバーダーク・インパクト！
,,,覚醒,フリント・アタック
,,,機械改造工場,二重召喚
,,,体温の上昇,召喚師のスキル
,,,フォロー・ウィンド,鹵獲装置
,,,ポセイドンの力,守護神の矛
,,,ドラゴン族・封印の壺,戦線復活の代償
,,,森,下克上の首飾り
,,,荒野,折れ竹光
,,,山,反撃の毒牙
,,,草原,ヴェノム・スプラッシュ
,,,海,凡人の施し
,,,闇,破滅へのクイック・ドロー
,,,モウヤンのカレー,シールドスピア
,,,レッド・ポーション,ストライク・ショット
,,,ゴブリンの秘薬,マジック・キャプチャー
,,,天使の生き血,トラップ・キャプチャー
,,,治療の神 ディアン・ケト,ギフトカード
,,,火の粉,強欲な贈り物
,,,ファイヤー・ボール,カウンター・カウンター
,,,火あぶりの刑,ヴォルカニック・ロケット
,,,昼夜の大火事,フェルグラントドラゴン
,,,火炎地獄,ダークブレイズドラゴン
,,,六芒星の呪縛,創世の預言者
,,,闇をかき消す光,デコイドラゴン
,,,ヤランゾ,トレード・イン
,,,女剣士カナン,The big SATURN
,,,タクリミノス,E・HERO プラズマヴァイスマン
,,,くいぐるみ,オーバーリミット
,,,メガソニック・アイ,コンタクト・アウト
,,,スーパー・ウォー・ライオン,思い出のブランコ
,,,ヤマドラン,E-HERO インフェルノ・ウィング
,,,ホーリー・ナイト・ドラゴン,E-HERO マリシャス・エッジ
,,,２人３脚ゾンビ,E-HERO ヘル・ゲイナー
,,,ゼラ,E-HERO ライトニング・ゴーレム
,,,トビペンギン,E-HERO ダーク・ガイア
,,,千年の盾,ダーク・フュージョン
,,,妖精の贈りもの,雲魔物－アイ・オブ・ザ・タイフーン
,,,カオス・ソルジャー,雲魔物－ゴースト・フォッグ
,,,デビルズ・ミラー,雲魔物－ニンバスマン
,,,迷宮壁－ラビリンス・ウォール－,雲魔物－羊雲
,,,地雷蜘蛛,雲魔物－ポイズン・クラウド
,,,シャドウ・グール,ダイヤモンドダスト・サイクロン
,,,ウォール・シャドウ,召喚雲
,,,迷宮の魔戦車,宝札雲
,,,雷魔神－サンガ,ナチュラル・ディザスター
,,,風魔神－ヒューガ,暴風雨
,,,水魔神－スーガ,E・HERO カオス・ネオス
,,,ゲート・ガーディアン,六武衆の侍従
,,,ダンジョン・ワーム,雲魔物－スモークボール
,,,地獄の魔物使い,雲魔物－アシッド・クラウド
,,,ガーゴイル・パワード,雲魔物－キロスタス
,,,復讐のソード・ストーカー,雲魔物－アルトス
,,,ランプの魔精・ラ・ジーン,雲魔物－タービュランス
,,,青眼の究極竜,剣闘獣アレクサンデル
,,,トゥーン・アリゲーター,剣闘獣スパルティクス
,,,ルード・カイザー,剣闘獣ムルミロ
,,,パロット・ドラゴン,剣闘獣ベストロウリィ
,,,ダーク・ラビット,剣闘獣ラクエル
,,,デビル・ボックス,剣闘獣ホプロムス
,,,ハーピィズペット竜,剣闘獣ディカエリィ
,,,魔法のランプ,剣闘獣セクトル
,,,振り子刃の拷問機械,スレイブ・エイプ
,,,魔導騎士ギルティア,スパルタクァの呪術師
,,,TM－１ランチャースパイダー,インフィニティ・ダーク
,,,デビルゾア,マジック・スライム
,,,メタル・デビルゾア,古代の機械騎士
,,,ゾーン・イーター,ゴブリン暗殺部隊
,,,鉄のサソリ,伝説の賭博師
,,,ダンシング・エルフ,紫炎の老中 エニシ
,,,エンゼル・イヤーズ,六武衆の御霊代
,,,レッグル,エーリアン・テレパス
,,,ラージマウス,エーリアン・ヒュプノ
,,,異国の剣士,超合魔獣ラプテノス
,,,水陸の帝王,剣闘獣ゲオルディアス
,,,牛鬼,剣闘獣ヘラクレイノス
,,,モンスター・アイ,フォッグ・コントロール
,,,レオグン,雲魔物のスコール
,,,シーホース,スペシャル・デュアル・サモン
,,,キラー・マシーン,剣闘獣の檻－コロッセウム
,,,カッター・ロボ,剣闘獣の闘器ハルバード
,,,機械王,剣闘獣の闘器グラディウス
,,,機械の巨兵,剣闘獣の闘器マニカ
,,,メタル・ドラゴン,休息する剣闘獣
,,,カラクリ蜘蛛,グラディアル・リターン
,,,バット,魂を吸う竹光
,,,ギガテック・ウルフ,六武衆の理
,,,機械の兵隊,「A」細胞培養装置
,,,シャベル・クラッシャー,上昇気流
,,,メカ・ハンター,化石岩の解放
,,,ブロッカー,閃光を吸い込むマジック・ミラー
,,,ミスター・ボンバー,暗闇を吸い込むマジック・ミラー
,,,ゴルゴイル,ディザーム
,,,ギガント,パリィ
,,,コマンダー,神速の具足
,,,人造人間７号,諸刃の活人剣術
,,,ダイス・アルマジロ,エネルギー吸収板
,,,天空竜,細胞爆破ウイルス
,,,サンダー・ドラゴン,デストラクト・サークル－A
,,,ストーン・ドラゴン,亜空間ジャンプ装置
,,,カイザー・ドラゴン,ミス・リバイブ
,,,きまぐれの女神,不運なリポート
,,,水の魔導師,デモニック・モーター・Ω
,,,氷水,デュアル・サモナー
,,,ウンディーネ,オーシャンズ・オーパー
,,,エンシェント・エルフ,サウザンド・アイズ・フィッシュ
,,,美しき魔物使い,マザー・ブレイン
,,,ウォーター・ガール,深海王デビルシャーク
,,,ホワイト・ドルフィン,モーム
,,,深海に潜むサメ,マンモ・フォッシル
,,,メタル・フィッシュ,竜影魚レイ・ブロント
,,,神魚,地獄の門番イル・ブラッド
,,,レインボー・フィッシュ,炎妖蝶ウィルプス
,,,サイボーグ・バス,混沌幻魔アーミタイル
,,,アクア・ドラゴン,青氷の白夜龍
,,,海の竜王,アルカナフォースEX－THE LIGHT RULER
,,,ツルプルン,カードブロッカー
,,,海を守る戦士,神獣王バルバロス
,,,アクア・スネーク,The splendid VENUS
,,,シーザリオン,マッド・リローダー
,,,スパイクシードラ,魔宮の賄賂
,,,３万年の白亀,カオス・バースト
,,,復讐のカッパ,ファントム・オブ・カオス
,,,カニカブト,堕天使ナース－レフィキュル
,,,ザリガン,ダーク・キュア
,,,千年ゴーレム,サディスティック・ポーション
,,,破壊のゴーレム,馬頭鬼
,,,ガンロック,剣闘獣アンダル
,,,岩の戦士,海皇の長槍兵
,,,ストーン・ゴースト,ガイアフレーム
,,,雷神の怒り,ウィンドフレーム
,,,地雷獣,デュアル・ランサー
,,,ボルト・エスカルゴ,プリズンクインデーモン
,,,ボルト・ペンギン,Chimaera
,,,雷仙人, the Master of Beasts
,,,エレクトリック・スネーク,Emperor of Lightning
,,,ウイング・イーグル,E-HERO ヘル・ブラット
,,,裁きの鷹,アーマー・ブレイカー
,,,スカイ・ハンター,E-HERO ワイルド・サイクロン
,,,紅陽鳥,E-HERO ヘル・スナイパー
,,,クイーン・バード,E-HERO マリシャス・デビル
,,,青い忍者,ダーク・コーリング
,,,マジカル・ゴースト,融合破棄
,,,ソウル・ハンター,ヒーローズルール２
,,,エア・イーター,幻銃士
,,,朱雀,グレイブ・スクワーマー
,,,シーカーメン,トーチ・ゴーレム
,,,ガニグモ,カウンター・ジェム
,,,インセクション,宝玉の双璧
,,,空の昆虫兵,手札断殺
,,,コカローチ・ナイト,宝玉の解放
,,,クワガタ・アルファ,宝玉の樹
,,,バーグラー,究極封印神エクゾディオス
,,,プラグティカル,ライオウ
,,,ガルヴァス,ディープ・ダイバー
,,,アメーバ,強者の苦痛
,,,コロガーシ,次元幽閉
,,,ブークー,エア・サーキュレーター
,,,フラワー・ウルフ,キメラテック・フォートレス・ドラゴン
,,,レインボー・フラワー,霧の王
,,,マグナム・リリィ,フォッシル・ダイナ パキケファロ
,,,ニードル・ボール,究極宝玉神 レインボー・ダーク・ドラゴン
,,,クジャック,サクリファイス・ロータス
,,,スーパースター,スプリット・D・ローズ
,,,マハー・ヴァイロ,ユベル
,,,レインボー・マリン・マーメイド,ユベル－Das Abscheulich Ritter
,,,音楽家の帝王,ユベル－Das Extremer Traurig Drachen
,,,ウィルミー,アーマード・サイバーン
,,,ヤドカリュー,サイバー・ヴァリー
,,,モリンフェン,サイバー・ウロボロス
,,,青虫,ヴォルカニック・カウンター
,,,竜殺者,D-HERO ダンクガイ
,,,人喰い虫,D-HERO ディパーテッドガイ
,,,ドラゴヒューマン,ダーク・ホルス・ドラゴン
,,,タートル・狸,ダーク・クリエイター
,,,魔界植物,ダーク・ネフティス
,,,プリズマン,ダーク・アームド・ドラゴン
,,,ゲール・ドグラ,ダーク・クルセイダー
,,,クレイジー・フィッシュ,終末の騎士
,,,メカ・ザウルス,終焉の精霊
,,,ブラキオレイドス,黒曜岩竜
,,,笑う花,プリーステス・オーム
,,,ビーン・ソルジャー,ギガプラント
,,,キャノン・ソルジャー,未来サムライ
,,,王室前のガーディアン,悪シノビ
,,,ブレイブ・シザー,不死武士
,,,イースター島のモアイ,戦士ラーズ
,,,ムカムカ,剣闘獣ダリウス
,,,サンド・ストーン,暗黒ヴェロキ
,,,岩石カメッター,超古深海王シーラカンス
,,,ファイヤー・クラーケン,メガキャノン・ソルジャー
,,,タートル・バード,ザ・カリキュレーター
,,,デス・バード,コアラッコ
,,,巨大な怪鳥,ブルーサンダーT４５
,,,悪魔の調理師,電磁蚊
,,,スター・ボーイ,N・ティンクル・モス
,,,山の精霊,E・HERO ストーム・ネオス
,,,首狩り魔人,レインボー・ネオス
,,,ミリス・レディエント,レインボー・ヴェール
,,,クラッシュマン,超融合
,,,フレイム・ケルベロス,ヴィシャス・クロー
,,,エルディーン,インスタント・ネオスペース
,,,砂の魔女,蜃気楼の筒
,,,ヂェミナイ・エルフ,マジック・クロニクル
,,,クワガー・ヘラクレス,次元誘爆
,,,イビー,サイバネティック・ゾーン
,,,カマキラー,終わりの始まり
,,,メカレオン,ダーク・バースト
,,,メガ・サンダーボール,終焉の焔
,,,コケ,フォース・リリース
,,,デッド・シャーク,サモンチェーン
,,,スケルエンジェル,アシッドレイン
,,,ハネハネ,六武衆の結束
,,,ナイル,剣闘獣の闘器デーモンズシールド
,,,舌魚,剣闘訓練所
,,,大砲だるま,暗黒界の書物
,,,スケルゴン,虹の行方
,,,魚ギョ戦士,レインボー・ライフ
,,,グリグル,デモンバルサム・シード
,,,骨ネズミ,ヘイト・バスター
,,,カエルスライム,チェーン・マテリアル
,,,ベヒゴン,アルケミー・サイクル
,,,ダーク・エルフ,サイバネティック・ヒドゥン・テクノロジー
,,,ワイバーン,闇霊術－「欲」
,,,マタンゴ,闇の幻影
,,,バーバリアン１号,闇次元の解放
,,,レッド・ドラゴン,二重の落とし穴
,,,さまよえる亡者,強烈なはたき落とし
,,,鋼鉄の巨神像,召喚制限－猛突するモンスター
,,,ポット・ザ・トリック,ハンディキャップマッチ！
,,,オシロ・ヒーロー,毒蛇の供物
,,,異次元からの侵略者,決戦の火蓋
,,,レッサー・ドラゴン,転生断絶
,,,ニードルワーム,罰則金
,,,屋根裏の物の怪,剣闘獣オクタビウス
,,,金色の魔象,剣闘獣トラケス
,,,黒き人食い鮫,スレイブタイガー
,,,ヨルムンガルド,ディフェンシブ・タクティクス
,,,魔界のイバラ,ドラゴン・アイス
,,,恐竜人,タン・ツイスター
,,,生き血をすするもの,スクリーチ
,,,トラコドン,炎帝近衛兵
,,,密林の黒竜王,漆黒のトバリ
,,,裁きを下す女帝,セキュリティー・ボール
,,,ベビー・ティーレックス,ファイヤー・トルーパー
,,,深き森の長老,E・HERO プリズマー
,,,ツンドラの大蠍,カードエクスクルーダー
,,,カラス天狗,アームズ・ホール
,,,レオ・ウィザード,アサルト・アーマー
,,,深淵に咲く花,イービル・ブラスト
,,,パトロール・ロボ,軍神ガープ
,,,タクヒ,邪帝ガイウス
,,,ヴァルキリー,次元合成師
,,,ウェザー・レポート,カイザー・サクリファイス
,,,封印の鎖,D・D・R
,,,メカニカルスネイル,エンペラー・オーダー
,,,ドッペルゲンガー,邪龍アナンタ
,,,モン・ラーバス,レッドアイズ・ダークネスメタルドラゴン
,,,命ある花瓶,地球巨人 ガイア・プレート
,,,テンタクル・プラント,竜脚獣ブラキオン
